ISCO,job_title,category,category_label
7533,rounder-off,32,"Food processing, wood working, garment and other craft and related trades workers"
5419,parking attendant,25,Protective services workers
8111,ripper,33,Stationary plant and machine operators
3339,model's agent,15,Business and administration associate professionals
3412,children's services worker,16,"Legal, social, cultural and related associate professionals"
2632,archaeology scientist,12,"Legal, social and cultural professionals"
8160,food mixer,33,Stationary plant and machine operators
9112,domestic porter,36,Cleaners and helpers
1321,chief metallurgist,5,Production and specialised services managers
5221,news agent,23,Sales workers
1219,water treatment plant supervisor,4,Administrative and commercial managers
8159,marquee maker,33,Stationary plant and machine operators
2351,educational research analyst,9,Teaching professionals
5230,legal cashier,23,Sales workers
2511,enterprise architecture manager,11,Information and communications technology professionals
2642,television news editor,12,"Legal, social and cultural professionals"
8122,enamel fuser,33,Stationary plant and machine operators
2352,early years teacher in special educational needs,9,Teaching professionals
7223,rail driller,29,"Metal, machinery and related trades workers"
2152,computer hardware and network engineer,7,Science and engineering professionals
8131,resin mixer,33,Stationary plant and machine operators
2146,assay assistant,7,Science and engineering professionals
5153,cleaners,22,Personal service workers
5223,specialised trader,23,Sales workers
3411,judicial assistant,16,"Legal, social, cultural and related associate professionals"
3412,disability adviser,16,"Legal, social, cultural and related associate professionals"
5244,inbound telemarketer,23,Sales workers
7543,leather goods quality controller,32,"Food processing, wood working, garment and other craft and related trades workers"
4212,head of gaming,19,Customer services clerks
2310,lecturer in politics,9,Teaching professionals
4227,census taker,19,Customer services clerks
1346,credit union managers,5,Production and specialised services managers
3254,technologist in ophthalmic laboratory,14,Health associate professionals
3154,air traffic planner,13,Science and engineering associate professionals
3115,locomotive engine inspector,13,Science and engineering associate professionals
3512,IT engineer,17,Information and communications technicians
9312,tramway layer,38,"Labourers in mining, construction, manufacturing and transport"
3341,social media adviser,15,Business and administration associate professionals
8143,shearer technician,33,Stationary plant and machine operators
7314,acid worker,30,Handicraft and printing workers
5223,fruiterers shop specialised seller,23,Sales workers
3334,estate agent,15,Business and administration associate professionals
2351,educational researcher,9,Teaching professionals
7221,sheet metal apprentice,29,"Metal, machinery and related trades workers"
1112,chief fire officer,3,"Chief executives, senior officials and legislators"
1322,oil production scheduler,5,Production and specialised services managers
2651,storyboard and animatic artist,12,"Legal, social and cultural professionals"
8122,barrel plater,33,Stationary plant and machine operators
7523,wooden furniture machine operator,32,"Food processing, wood working, garment and other craft and related trades workers"
2619,human rights programme officer,12,"Legal, social and cultural professionals"
2632,geography research scientist,12,"Legal, social and cultural professionals"
8131,size mixer,33,Stationary plant and machine operators
7543,garment viewer,32,"Food processing, wood working, garment and other craft and related trades workers"
3257,safety and hygiene manager,14,Health associate professionals
2422,social policy specialist,10,Business and administration professionals
1349,publisher,5,Production and specialised services managers
8181,drying tunnel kiln operative,33,Stationary plant and machine operators
5312,teaching aide,24,Personal care workers
7316,wood painter and designer,30,Handicraft and printing workers
8156,heel bar operator,33,Stationary plant and machine operators
7413,overhead line technician,31,Electrical and electronic trades workers
5249,rental service desk supervisor,23,Sales workers
8211,motor vehicle assembly tester,34,Assemblers
3312,securities officer,15,Business and administration associate professionals
8111,quarry operative,33,Stationary plant and machine operators
2652,opera solo singer,12,"Legal, social and cultural professionals"
2310,dietetics instructor,9,Teaching professionals
3118,electromechanical draughtsperson,13,Science and engineering associate professionals
2422,program coordinator employment,10,Business and administration professionals
2310,specialist lecturer in healthcare science,9,Teaching professionals
4322,progressor,20,Numerical and material recording clerks
2152,satellite communication engineer,7,Science and engineering professionals
8122,tin house operator,33,Stationary plant and machine operators
1346,individual pension adviser,5,Production and specialised services managers
2432,social media executive,10,Business and administration professionals
5414,investigations manager,25,Protective services workers
1439,motor vehicle repair shop director,6,"Hospitality, retail and other services managers"
5223,sales order co-ordinator,23,Sales workers
3118,aerospace engineering drafter,13,Science and engineering associate professionals
3412,interventions facilitator,16,"Legal, social, cultural and related associate professionals"
2659,voice artist and puppeteer,12,"Legal, social and cultural professionals"
1330,IT data processing manager,5,Production and specialised services managers
2512,systems engineer,11,Information and communications technology professionals
9629,car park steward,41,Refuse workers and other elementary workers
3123,supervising plumber,13,Science and engineering associate professionals
2651,relief printer,12,"Legal, social and cultural professionals"
3123,wallpaper hanger supervisor,13,Science and engineering associate professionals
3323,contract officer,15,Business and administration associate professionals
3111,scientific assistant,13,Science and engineering associate professionals
2431,crm marketing coordinator,10,Business and administration professionals
8121,first helper,33,Stationary plant and machine operators
8159,asbestos braider,33,Stationary plant and machine operators
7125,double glazing fitter,28,"Building and related trades workers, excluding electricians"
9329,maintenance operative,38,"Labourers in mining, construction, manufacturing and transport"
4323,short range scheduler,20,Numerical and material recording clerks
9329,line cleaner,38,"Labourers in mining, construction, manufacturing and transport"
2431,merchandise controller,10,Business and administration professionals
3341,post room manager,15,Business and administration associate professionals
2113,flavour chemist,7,Science and engineering professionals
8131,binitrotoluene operator,33,Stationary plant and machine operators
2146,senior processing engineer,7,Science and engineering professionals
1439,motor vehicle repair shop coordinator,6,"Hospitality, retail and other services managers"
2652,charango player,12,"Legal, social and cultural professionals"
2261,dental public health specialist,8,Health professionals
7543,toys inspector,32,"Food processing, wood working, garment and other craft and related trades workers"
6221,water-based aquaculture technician,27,"Market-oriented skilled forestry, fishery and hunting workers"
3314,rate setter,15,Business and administration associate professionals
8342,ram driver,35,Drivers and mobile plant operators
2310,instructor in veterinary medicine,9,Teaching professionals
7535,fur finisher,32,"Food processing, wood working, garment and other craft and related trades workers"
3431,photography-based artist,16,"Legal, social, cultural and related associate professionals"
9333,bobbin counter,38,"Labourers in mining, construction, manufacturing and transport"
2120,statistics scientist,7,Science and engineering professionals
4412,letter sorter,21,Other clerical support workers
7222,tool setting operator,29,"Metal, machinery and related trades workers"
9629,ride attendant,41,Refuse workers and other elementary workers
8155,carding machine operator,33,Stationary plant and machine operators
3122,bodyshop foreman,13,Science and engineering associate professionals
5164,assistance dog trainer,22,Personal service workers
2511,embedded systems designers,11,Information and communications technology professionals
7213,tank maker,29,"Metal, machinery and related trades workers"
3135,electrical furnace operator,13,Science and engineering associate professionals
3331,trainee import specialist in machine tools,15,Business and administration associate professionals
3423,wellness & fitness attendant,16,"Legal, social, cultural and related associate professionals"
7536,wheeler,32,"Food processing, wood working, garment and other craft and related trades workers"
3422,sport coach for participation,16,"Legal, social, cultural and related associate professionals"
8151,respreader,33,Stationary plant and machine operators
7312,membranophone musical instrument constructor,30,Handicraft and printing workers
7413,box inspector,31,Electrical and electronic trades workers
1219,court manager,4,Administrative and commercial managers
2421,scrum master,10,Business and administration professionals
2511,systems adviser,11,Information and communications technology professionals
8181,kiln attendant,33,Stationary plant and machine operators
3116,chemical production quality technician,13,Science and engineering associate professionals
7222,wooden pattern-maker,29,"Metal, machinery and related trades workers"
3411,court registrar,16,"Legal, social, cultural and related associate professionals"
5245,petrol site specialised seller,23,Sales workers
4227,marketing recruiter,19,Customer services clerks
2310,clinical lecturer in dentistry,9,Teaching professionals
9333,number taker,38,"Labourers in mining, construction, manufacturing and transport"
4419,business services assistant,21,Other clerical support workers
2632,thanatology researcher,12,"Legal, social and cultural professionals"
8157,hydro hand,33,Stationary plant and machine operators
3512,ICT help desk managers,17,Information and communications technicians
3123,roof slating supervisor,13,Science and engineering associate professionals
8154,feather worker,33,Stationary plant and machine operators
8181,glass production polisher,33,Stationary plant and machine operators
8152,yardage-tufting machine operator,33,Stationary plant and machine operators
2320,hospitality instructor,9,Teaching professionals
1324,dairy products and edible oils distribution planner,5,Production and specialised services managers
2142,consulting civil engineer,7,Science and engineering professionals
2512,user interface developer,11,Information and communications technology professionals
5132,drink dispenser,22,Personal service workers
7543,tank gauger,32,"Food processing, wood working, garment and other craft and related trades workers"
2422,refugee policy officer,10,Business and administration professionals
8212,fabricator of batteries,34,Assemblers
5221,tyre dealer,23,Sales workers
8182,power plant operative,33,Stationary plant and machine operators
1324,import export manager in agricultural raw materials,5,Production and specialised services managers
2432,public affairs officer,10,Business and administration professionals
3114,PC hardware engineering technician,13,Science and engineering associate professionals
3313,billing and accounting assistant,15,Business and administration associate professionals
3123,constructtion general supervisor,13,Science and engineering associate professionals
7536,braces maker,32,"Food processing, wood working, garment and other craft and related trades workers"
3116,color kitchen worker,13,Science and engineering associate professionals
3435,prop maker,16,"Legal, social, cultural and related associate professionals"
9111,domestic,36,Cleaners and helpers
9621,office girl,41,Refuse workers and other elementary workers
4226,overnight auditor,19,Customer services clerks
7522,wood cleaver,32,"Food processing, wood working, garment and other craft and related trades workers"
7314,tile moulder,30,Handicraft and printing workers
2654,director of programmes,12,"Legal, social and cultural professionals"
7223,multi-spindle routing machine setter,29,"Metal, machinery and related trades workers"
7535,leather sprayer,32,"Food processing, wood working, garment and other craft and related trades workers"
2144,industrial tool technology engineering consultant,7,Science and engineering professionals
7125,windscreen fitter,28,"Building and related trades workers, excluding electricians"
2132,agronomy science researcher,7,Science and engineering professionals
7544,agricultural sprayer,32,"Food processing, wood working, garment and other craft and related trades workers"
7543,stocking sorter,32,"Food processing, wood working, garment and other craft and related trades workers"
3422,football instructor,16,"Legal, social, cultural and related associate professionals"
3521,audio board operator,17,Information and communications technicians
2149,bioengineering technology adviser,7,Science and engineering professionals
2133,manager of pipeline environmental projects,7,Science and engineering professionals
9329,dockyard worker,38,"Labourers in mining, construction, manufacturing and transport"
5162,companion-housekeeper,22,Personal service workers
7543,assembly quality compliance inspector,32,"Food processing, wood working, garment and other craft and related trades workers"
7316,ceramic artist,30,Handicraft and printing workers
8151,inter tenter,33,Stationary plant and machine operators
3118,architectural draughtsperson,13,Science and engineering associate professionals
3331,assistant export specialist in china and glassware,15,Business and administration associate professionals
1324,terminal operations manager,5,Production and specialised services managers
8152,lace machinist,33,Stationary plant and machine operators
4110,clerk to the governors,18,General and keyboard clerks
5165,driver-instructor,22,Personal service workers
8332,lgv driver,35,Drivers and mobile plant operators
3139,industrial robotics controller,13,Science and engineering associate professionals
7323,book-sewing machine specialist,30,Handicraft and printing workers
2120,health actuary,7,Science and engineering professionals
7231,engine repair fitter,29,"Metal, machinery and related trades workers"
3252,clinical coder,14,Health associate professionals
2151,electromechanical systems control engineer,7,Science and engineering professionals
5169,centre attendant,22,Personal service workers
5223,principal salesperson,23,Sales workers
8151,targer,33,Stationary plant and machine operators
3322,territory manager,15,Business and administration associate professionals
7223,brake press setter,29,"Metal, machinery and related trades workers"
8142,fiberglass-spraying machine operator,33,Stationary plant and machine operators
2262,pharmaceutical quality control specialist,8,Health professionals
1324,flight navigation manager,5,Production and specialised services managers
7212,robotic welding supervisor,29,"Metal, machinery and related trades workers"
2144,machine packaging supervisor,7,Science and engineering professionals
9333,van setter,38,"Labourers in mining, construction, manufacturing and transport"
7223,brake drum operator,29,"Metal, machinery and related trades workers"
2652,didgeridoo player,12,"Legal, social and cultural professionals"
3412,community care assessor,16,"Legal, social, cultural and related associate professionals"
2631,business research scientist,12,"Legal, social and cultural professionals"
8122,burr tooling operator,33,Stationary plant and machine operators
5230,checker-out,23,Sales workers
7511,butcher,32,"Food processing, wood working, garment and other craft and related trades workers"
8151,clip stretcher,33,Stationary plant and machine operators
8131,beeswax bleacher,33,Stationary plant and machine operators
3344,medical transcriber,15,Business and administration associate professionals
8183,continuous heat sealer operator,33,Stationary plant and machine operators
5329,sterilizer operator,24,Personal care workers
2422,political agent,10,Business and administration professionals
7233,mould setting operator,29,"Metal, machinery and related trades workers"
8219,product assembler,34,Assemblers
3341,sales administrator team leader,15,Business and administration associate professionals
2310,classical languages lector,9,Teaching professionals
7126,sewer cleaner,28,"Building and related trades workers, excluding electricians"
310,aircraftwoman,2,"Armed forces occupations, other ranks"
3114,medical device maintenance technician,13,Science and engineering associate professionals
7316,spray printer,30,Handicraft and printing workers
8131,kiln bunkerman,33,Stationary plant and machine operators
4225,customer care adviser,19,Customer services clerks
2659,live mixing disc jockey,12,"Legal, social and cultural professionals"
6121,pig breeders,26,Market-oriented skilled agricultural workers
7314,pottery presser,30,Handicraft and printing workers
8142,extruding driver,33,Stationary plant and machine operators
9329,hygiene operator,38,"Labourers in mining, construction, manufacturing and transport"
3123,window glass installation supervisor,13,Science and engineering associate professionals
5153,burial ground keeper,22,Personal service workers
3435,scenic technician,16,"Legal, social, cultural and related associate professionals"
9311,belt cleaner,38,"Labourers in mining, construction, manufacturing and transport"
9333,watchman-operator,38,"Labourers in mining, construction, manufacturing and transport"
8151,core winder machine operator,33,Stationary plant and machine operators
3214,audiology specialist service technician,14,Health associate professionals
8172,mitre saw specialist,33,Stationary plant and machine operators
7523,wood drilling machine operator,32,"Food processing, wood working, garment and other craft and related trades workers"
4214,recovery officer,19,Customer services clerks
3121,deputy,13,Science and engineering associate professionals
2240,perioperative practitioner,8,Health professionals
7422,fire alarm technician,31,Electrical and electronic trades workers
7536,shoe worker,32,"Food processing, wood working, garment and other craft and related trades workers"
8151,gill tenter,33,Stationary plant and machine operators
2143,reycling development co-ordinator,7,Science and engineering professionals
3422,instructor of professional lifeguards,16,"Legal, social, cultural and related associate professionals"
9333,loadmaster,38,"Labourers in mining, construction, manufacturing and transport"
7522,handle maker,32,"Food processing, wood working, garment and other craft and related trades workers"
3123,dredging foreman,13,Science and engineering associate professionals
2422,grade ii intelligence officer,10,Business and administration professionals
5244,sales adviser,23,Sales workers
7224,box trimmer,29,"Metal, machinery and related trades workers"
2635, benefits,12,"Legal, social and cultural professionals"
8312,railway track technician,35,Drivers and mobile plant operators
7122,cork tiler,28,"Building and related trades workers, excluding electricians"
7233,aluminium framer,29,"Metal, machinery and related trades workers"
2656,television interviewer,12,"Legal, social and cultural professionals"
1431,betting manager,6,"Hospitality, retail and other services managers"
2250,food production animal veterinarian,8,Health professionals
4412,line manager,21,Other clerical support workers
8131,flare kiln operator,33,Stationary plant and machine operators
3141,bacteriology lab technician,13,Science and engineering associate professionals
5142,hair and make-up artist,22,Personal service workers
9412,still room attendant,39,Food preparation assistants
8160,beverage filtration worker,33,Stationary plant and machine operators
8332,motor vehicle driver,35,Drivers and mobile plant operators
3435,property maker and set dresser,16,"Legal, social, cultural and related associate professionals"
2659,chinese hoops acrobat,12,"Legal, social and cultural professionals"
7317,mop assembly worker,30,Handicraft and printing workers
2310,lecturer in archaeology,9,Teaching professionals
2359,prison teacher,9,Teaching professionals
1420,gun shop manager,6,"Hospitality, retail and other services managers"
2166,3D animators,7,Science and engineering professionals
8122,tumbling machine operator,33,Stationary plant and machine operators
1324,trainee import export manager in textiles and textile semi-finished and raw materials,5,Production and specialised services managers
7223,CNC drill operative,29,"Metal, machinery and related trades workers"
8141,rubber moulder,33,Stationary plant and machine operators
2513,digital producer,11,Information and communications technology professionals
7131,paper hanger,28,"Building and related trades workers, excluding electricians"
2120,insurance actuaries,7,Science and engineering professionals
3323,salesman-buyer,15,Business and administration associate professionals
7543,cigar inspector,32,"Food processing, wood working, garment and other craft and related trades workers"
3435,scenic painter & property maker,16,"Legal, social, cultural and related associate professionals"
2512,business intelligence developer,11,Information and communications technology professionals
3214,chief dental technician,14,Health associate professionals
2152,flight test engineer,7,Science and engineering professionals
1324, skins and leather products logistics manager,5,Production and specialised services managers
4419,rights of way officer,21,Other clerical support workers
2351,SEN officer,9,Teaching professionals
5245,fuel station specialised seller,23,Sales workers
9329,box lifter,38,"Labourers in mining, construction, manufacturing and transport"
5312,learning support worker,24,Personal care workers
2659,lookalike artist,12,"Legal, social and cultural professionals"
2514,numerical process control tool setting operator,11,Information and communications technology professionals
3315,personal claims adjuster,15,Business and administration associate professionals
2262,hospital pharmacy specialist,8,Health professionals
2651,pocket cartoonist,12,"Legal, social and cultural professionals"
3123,construction foreman,13,Science and engineering associate professionals
2133,park naturalist,7,Science and engineering professionals
5113,visitors centre guide,22,Personal service workers
8211,LNG engine assembler,34,Assemblers
8183,oxygen filler,33,Stationary plant and machine operators
5246,dining room orderly,23,Sales workers
2422,cultural policy worker,10,Business and administration professionals
9329,fitter's mate,38,"Labourers in mining, construction, manufacturing and transport"
9215,heathsman,37,"Agricultural, forestry and fishery labourers"
9321,night packer,38,"Labourers in mining, construction, manufacturing and transport"
8154,textile finishing supervisor,33,Stationary plant and machine operators
7113,artisanal stonemason,28,"Building and related trades workers, excluding electricians"
2166,layout editor,7,Science and engineering professionals
5142,special effects and make-up artist,22,Personal service workers
8141,air bed maker,33,Stationary plant and machine operators
7115,staircase craftsman,28,"Building and related trades workers, excluding electricians"
2113,fragrance developer,7,Science and engineering professionals
5151,hotel house keeper,22,Personal service workers
3422,gym instructor,16,"Legal, social, cultural and related associate professionals"
8160,cigarette machine minder,33,Stationary plant and machine operators
8131,nitroglycerin-separator operator,33,Stationary plant and machine operators
7119,prefab home assembler,28,"Building and related trades workers, excluding electricians"
2111,gas examiner,7,Science and engineering professionals
2659,illusionist,12,"Legal, social and cultural professionals"
1312,fish farm on-growing manager,5,Production and specialised services managers
3212,biomedical laboratory research assistant,14,Health associate professionals
1439,property landlord,6,"Hospitality, retail and other services managers"
5413,prison auxiliary,25,Protective services workers
9333,warehouse packager,38,"Labourers in mining, construction, manufacturing and transport"
8151,yarn twister,33,Stationary plant and machine operators
2269,kinesiologist,8,Health professionals
2422,arts administrator,10,Business and administration professionals
2643,subtitler and surtitler,12,"Legal, social and cultural professionals"
8154,cloth clipper,33,Stationary plant and machine operators
9313,builder's handyman,38,"Labourers in mining, construction, manufacturing and transport"
7531,wig technician,32,"Food processing, wood working, garment and other craft and related trades workers"
7223,rivet machinist,29,"Metal, machinery and related trades workers"
8121,depiler operator,33,Stationary plant and machine operators
8121,vessel man,33,Stationary plant and machine operators
7126,irrigation operative,28,"Building and related trades workers, excluding electricians"
8131,enamel mixer,33,Stationary plant and machine operators
3154,aerodrome operations officer,13,Science and engineering associate professionals
2431,membership coordinator,10,Business and administration professionals
2432,intercultural communications consultant,10,Business and administration professionals
1420,retail sales manager,6,"Hospitality, retail and other services managers"
7319,candle production inspector,30,Handicraft and printing workers
3435,wardrobe assistant,16,"Legal, social, cultural and related associate professionals"
8132,motion picture film expert,33,Stationary plant and machine operators
1219,corporate social responsibility manager,4,Administrative and commercial managers
7532,stock cutter,32,"Food processing, wood working, garment and other craft and related trades workers"
8152,back hand,33,Stationary plant and machine operators
5131,canteen steward,22,Personal service workers
7535,wet wheeler,32,"Food processing, wood working, garment and other craft and related trades workers"
7223,forging machine setter,29,"Metal, machinery and related trades workers"
2149,atomic power engineer,7,Science and engineering professionals
5222,counter supervisor,23,Sales workers
1420,fire weapon shop manager,6,"Hospitality, retail and other services managers"
7522,tenon hand,32,"Food processing, wood working, garment and other craft and related trades workers"
7523,bowl turner,32,"Food processing, wood working, garment and other craft and related trades workers"
2163, fixments,7,Science and engineering professionals
2642,on-line video columnist,12,"Legal, social and cultural professionals"
4412,postal supervisor,21,Other clerical support workers
2635,cultural mediator social worker,12,"Legal, social and cultural professionals"
3112,energy saving equipment advisor,13,Science and engineering associate professionals
2141,packaging production manager,7,Science and engineering professionals
3521,projector operator,17,Information and communications technicians
4322,production control assistant,20,Numerical and material recording clerks
5249,rental sales worker in personal and household goods,23,Sales workers
8160,toffee machinist,33,Stationary plant and machine operators
8160,blanching operator,33,Stationary plant and machine operators
8156,sole trimer,33,Stationary plant and machine operators
8160,dairy operator,33,Stationary plant and machine operators
6112,arboretum worker,26,Market-oriented skilled agricultural workers
2611,court legal adviser,12,"Legal, social and cultural professionals"
7412,tool repair inspector,31,Electrical and electronic trades workers
3315,personal items valuer,15,Business and administration associate professionals
2230,natural health practitioner,8,Health professionals
8181,slip maker,33,Stationary plant and machine operators
3514,web content assistant,17,Information and communications technicians
7223,plasma torch machine operator,29,"Metal, machinery and related trades workers"
8151,interlacer,33,Stationary plant and machine operators
8121,roll hand,33,Stationary plant and machine operators
7211,core filer,29,"Metal, machinery and related trades workers"
8142,cake press tender,33,Stationary plant and machine operators
3331,assistant import export specialist in textile industry machinery,15,Business and administration associate professionals
2144,industrial tool technology engineering adviser,7,Science and engineering professionals
3119,shoe technician,13,Science and engineering associate professionals
8131,colour mixer's assistant,33,Stationary plant and machine operators
3331,import export specialist in hardware,15,Business and administration associate professionals
9333,steel yard foreman,38,"Labourers in mining, construction, manufacturing and transport"
7224,iron dresser,29,"Metal, machinery and related trades workers"
7233,sheave greaser,29,"Metal, machinery and related trades workers"
2114,bedrock geologist,7,Science and engineering professionals
3118,boundary examiner,13,Science and engineering associate professionals
2422,charity worker,10,Business and administration professionals
7115,bench joiner,28,"Building and related trades workers, excluding electricians"
8141,jobbing presser,33,Stationary plant and machine operators
3115,materials stress analyst material analyst,13,Science and engineering associate professionals
8212,battery production worker,34,Assemblers
8342,piling equipment operator,35,Drivers and mobile plant operators
2141,trainee operations manager,7,Science and engineering professionals
7213,welder boilermaker,29,"Metal, machinery and related trades workers"
3339,theatrical agent,15,Business and administration associate professionals
9312,track machine operator,38,"Labourers in mining, construction, manufacturing and transport"
1219,manager of chemical plant,4,Administrative and commercial managers
8121,strip drawer,33,Stationary plant and machine operators
4323,roads inspector,20,Numerical and material recording clerks
2310,senior lecturer in literature,9,Teaching professionals
8151,flax bundler,33,Stationary plant and machine operators
3421,speedway rider,16,"Legal, social, cultural and related associate professionals"
1324,fruit and vegetables supply chain planner,5,Production and specialised services managers
2320, and fishery teacher,9,Teaching professionals
3122,butchery supervisor,13,Science and engineering associate professionals
3257,food safety officer,14,Health associate professionals
8152,weaver's assistant,33,Stationary plant and machine operators
7411,solar energy harvesting technician,31,Electrical and electronic trades workers
7313,jewelry polishing machine operator,30,Handicraft and printing workers
5153,chapel keeper,22,Personal service workers
9333,lorry driver's assistant,38,"Labourers in mining, construction, manufacturing and transport"
2635,sexual violence counsellor,12,"Legal, social and cultural professionals"
2652,sound track composer,12,"Legal, social and cultural professionals"
2143,recycling and reclamation coordinator,7,Science and engineering professionals
2529,CISO,11,Information and communications technology professionals
2149,energy technology engineering adviser,7,Science and engineering professionals
8181,fibre machine tender,33,Stationary plant and machine operators
9329,craft auxiliary,38,"Labourers in mining, construction, manufacturing and transport"
2151,engineer in electromagnetic systems design,7,Science and engineering professionals
1120,area office manager,3,"Chief executives, senior officials and legislators"
8151,forming machinist,33,Stationary plant and machine operators
2643,semitist,12,"Legal, social and cultural professionals"
2513,web site developer,11,Information and communications technology professionals
8181,drawing machine operative,33,Stationary plant and machine operators
3344,gp practice manager,15,Business and administration associate professionals
2264,physiotherapist,8,Health professionals
3112,bms engineer,13,Science and engineering associate professionals
3423,mountain safety coach,16,"Legal, social, cultural and related associate professionals"
1213,policy advocacy manager,4,Administrative and commercial managers
310,intelligence intercept operator,2,"Armed forces occupations, other ranks"
