ISCO,job_title,sub_major_category,sub_major_category_label,major_category,major_category_label
3123,terrazzo team supervisor,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1221,motor vehicle aftersales manager,12,Administrative and commercial managers,1,Managers
3343,student exchange director,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2149,photonics engineering adviser,21,Science and engineering professionals,2,Professionals
2149,health and safety specialist,21,Science and engineering professionals,2,Professionals
2111,thermodynamicist,21,Science and engineering professionals,2,Professionals
3411,law costs draftsman,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2143,environmental mining engineering adviser,21,Science and engineering professionals,2,Professionals
3341,section head,33,Business and administration associate professionals,3,Technicians and Associate Professionals
5153,estate caretaker,51,Personal service workers,5,Service and Sales Workers
3422,lifeguard training instructor,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2144,marine engineering adviser,21,Science and engineering professionals,2,Professionals
7223,hall marker,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2611,corporate advocate,26,"Legal, social and cultural professionals",2,Professionals
2113,cosmetics formulation chemist,21,Science and engineering professionals,2,Professionals
8156,linings and other materials cuting operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7233,textile card mechanic,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
9312,drainage system installer,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
2310,higher education physics teacher,23,Teaching professionals,2,Professionals
8142,operator of fiberglass-spraying machine,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7411,mobile power expert,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
9411,pizza maker,94,Food preparation assistants,9,Elementary Occupations
5223,automobile leasing representative,52,Sales workers,5,Service and Sales Workers
7318,lace maker,73,Handicraft and printing workers,7,Craft and Related Trades Workers
8212,dental probe assembler,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
1324,senior import export manager in fish,13,Production and Specialized Services Managers,1,Managers
2120,betting game designer and producer,21,Science and engineering professionals,2,Professionals
4221,railway station agent,42,Customer services clerks,4,Clerical Support Workers
1349,head of the legal services office,13,Production and Specialized Services Managers,1,Managers
2635,social worker youth justice,26,"Legal, social and cultural professionals",2,Professionals
4412,mail supervisor,44,Other clerical support workers,4,Clerical Support Workers
2634,school psychology practitioner,26,"Legal, social and cultural professionals",2,Professionals
1324,trainee import manager in agricultural machinery and equipment,13,Production and Specialized Services Managers,1,Managers
5223,animal food salesperson,52,Sales workers,5,Service and Sales Workers
8114,gypsum dresser,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8211,bus engine builder,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
7233,textile machine mechanic,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2423,recruiting process consultant,24,Business and administration professionals,2,Professionals
8181,screen attendant,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3521,rental equipment performance engineer,35,Information and communications technicians,3,Technicians and Associate Professionals
2163,set & costume designer,21,Science and engineering professionals,2,Professionals
7522,furniture renovater,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
4322,progress assistant,43,Numerical and material recording clerks,4,Clerical Support Workers
2634,reality therapy psychotherapist,26,"Legal, social and cultural professionals",2,Professionals
1420,kitchen store manager,14,"Hospitality, retail and other services managers",1,Managers
4312,rebate officer,43,Numerical and material recording clerks,4,Clerical Support Workers
1324,senior tobacco products distribution manager,13,Production and Specialized Services Managers,1,Managers
2269,podiatry foot care assistant,22,Health professionals,2,Professionals
2149,components engineers,21,Science and engineering professionals,2,Professionals
8160,candy production worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9333,depot foreman,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
3112,fire inspection technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2263,health and safety coordinator,22,Health professionals,2,Professionals
2131,senior experimental officer,21,Science and engineering professionals,2,Professionals
8342,roading construction worker,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
3133,coke grading plant attendant,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1420,flower store manager,14,"Hospitality, retail and other services managers",1,Managers
2230,TCM specialist,22,Health professionals,2,Professionals
2431,media manager,24,Business and administration professionals,2,Professionals
7223,turner-fitter,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3240,veterinary surgeon's assistant,32,Health associate professionals,3,Technicians and Associate Professionals
1330,telecommunications installation manager,13,Production and Specialized Services Managers,1,Managers
8160,dried milk machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9321,white room man,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7133,asbestos abatement assessor,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
8131,capsule machine operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2359,academic advisor,23,Teaching professionals,2,Professionals
2143,household recycling coordinator,21,Science and engineering professionals,2,Professionals
8131,chemical mixing machine worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3412,day centre organiser,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
1411,accommodations manager,14,"Hospitality, retail and other services managers",1,Managers
7543,rubber sorter,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2330,high school literature teacher,23,Teaching professionals,2,Professionals
8181,manual control auger press worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
9333,stock picker,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
3119,leather goods cutting,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2310,acting school teacher,23,Teaching professionals,2,Professionals
9412,silverman,94,Food preparation assistants,9,Elementary Occupations
2141,food and beverage packaging specialist,21,Science and engineering professionals,2,Professionals
2422,MSP's assistant,24,Business and administration professionals,2,Professionals
9216,seaweed collector,92,"Agricultural, forestry and fishery labourers",9,Elementary Occupations
8332,operator of aircraft fuel systems,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
5223,books specialised seller,52,Sales workers,5,Service and Sales Workers
9329,bottle rinser,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7322,box stamper,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7314,sanitary brusher,73,Handicraft and printing workers,7,Craft and Related Trades Workers
1345,secondary school principal,13,Production and Specialized Services Managers,1,Managers
4312,student loans officer,43,Numerical and material recording clerks,4,Clerical Support Workers
8154,textile finishing machinist,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7531,costumer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
8154,rug finisher,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2221,clinical trials nurse,22,Health professionals,2,Professionals
2424,practitioner of business coaching,24,Business and administration professionals,2,Professionals
2523,network developer,25,Information and communications technology professionals,2,Professionals
3344,assistant musculoskeletal therapist,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2411,articled clerk,24,Business and administration professionals,2,Professionals
2114,geologicial engineer,21,Science and engineering professionals,2,Professionals
3315,appraiser of properties,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8122,metal finishing machine tender,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3435,film and TV location manager,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8212,electrical control panel technician,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
1330,network services manager,13,Production and Specialized Services Managers,1,Managers
9329,transformer winder,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
8121,roughing mill roller,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5223,PCV service operative,52,Sales workers,5,Service and Sales Workers
3312,loan underwriters,33,Business and administration associate professionals,3,Technicians and Associate Professionals
9121,starcher,91,Cleaners and helpers,9,Elementary Occupations
3422,snowboard teacher,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
8312,railways goods worker,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
7316,engraver's painter,73,Handicraft and printing workers,7,Craft and Related Trades Workers
4323,port traffic coordinator,43,Numerical and material recording clerks,4,Clerical Support Workers
2635,family therapist,26,"Legal, social and cultural professionals",2,Professionals
9312,diver's tenter,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
5322,uber driver,53,Personal care workers,5,Service and Sales Workers
3435,automation operator and programmer,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
3412,social work assistant,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
9329,cabinet maker's labourer,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
8156,leather goods automated cutting system operator,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3311,trader assistant,33,Business and administration associate professionals,3,Technicians and Associate Professionals
3142,supervisor of aquaculture quality,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
9121,towel winder,91,Cleaners and helpers,9,Elementary Occupations
7233,heavy machines mechanic,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2133,environmental protection officer,21,Science and engineering professionals,2,Professionals
8172,band saw user,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3122,rubber goods manufacturing supervisor,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
4110,examinations administrator,41,General and keyboard clerks,4,Clerical Support Workers
7223,carriage straightener,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2512,user interface engineer,25,Information and communications technology professionals,2,Professionals
2412,business advisor,24,Business and administration professionals,2,Professionals
3322,e-commerce administrator,33,Business and administration associate professionals,3,Technicians and Associate Professionals
8342,water bowser driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
2144,industrial tool development engineer,21,Science and engineering professionals,2,Professionals
1324,dock master,13,Production and Specialized Services Managers,1,Managers
2149,thermal technology engineering consultant,21,Science and engineering professionals,2,Professionals
8153,padder,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2310,geriatrics docent,23,Teaching professionals,2,Professionals
2431,digital marketing officer,24,Business and administration professionals,2,Professionals
7315,pitcher and malletter,73,Handicraft and printing workers,7,Craft and Related Trades Workers
7412,power tool equipment repairer,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
3116,aggregates and bitumen laboratory technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3112,energy and sustainability consultant,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3123,crane operations supervisor,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1324,senior import export manager  in household goods,13,Production and Specialized Services Managers,1,Managers
5249,vehicle booking desk clerk,52,Sales workers,5,Service and Sales Workers
2619,coroner,26,"Legal, social and cultural professionals",2,Professionals
3331,trainee import export specialist in machine tools,33,Business and administration associate professionals,3,Technicians and Associate Professionals
3139,industrial robot operative,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1222,communications officer,12,Administrative and commercial managers,1,Managers
8181,tunnel kiln firer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7532,clothing cutter,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
5312,early years worker,53,Personal care workers,5,Service and Sales Workers
7422,fire alarm installer,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
8131,mixer of fertiliser,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3257,pollution control officer,32,Health associate professionals,3,Technicians and Associate Professionals
1349,environmental protection specialist,13,Production and Specialized Services Managers,1,Managers
3341,assistant data analyst,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2431,senior media buyer,24,Business and administration professionals,2,Professionals
8219,munitions plant operative,82,Assemblers,8,"Plant and Machine Operators, and Assemblers"
2166,television and motion picture director,21,Science and engineering professionals,2,Professionals
5246,cafeteria hand,52,Sales workers,5,Service and Sales Workers
7536,beveller,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2431,marketing development officer,24,Business and administration professionals,2,Professionals
8160,bean roaster,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8181,oven filler,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7543,sack grader,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7231,bus and coach maintenance supervisor,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
7231,body repair technician,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
7113,craft stonemason,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
1112,deputy chief constable,11,"Chief executives, senior officials and legislators",1,Managers
3334,sales negotiator,33,Business and administration associate professionals,3,Technicians and Associate Professionals
3141,biological technologist,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5223,book superstore specialised seller,52,Sales workers,5,Service and Sales Workers
8121,saw hardener,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2412,business appraiser,24,Business and administration professionals,2,Professionals
2310,university research support,23,Teaching professionals,2,Professionals
1324,graduate import manager in  textile industry machinery,13,Production and Specialized Services Managers,1,Managers
5211,haberdasher,52,Sales workers,5,Service and Sales Workers
8154,skewerer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2413,stock market analyst,24,Business and administration professionals,2,Professionals
8160,cider worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2145,colour consultant,21,Science and engineering professionals,2,Professionals
2310,paediatrics lecturer,23,Teaching professionals,2,Professionals
5112,railway stationman,51,Personal service workers,5,Service and Sales Workers
8183,heat seal operative,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
1346,individual pension adviser,13,Production and Specialized Services Managers,1,Managers
7511,kosher meat slicer,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
7224,bolster grinder,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
8142,plastic furniture manufacturer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
8121,billet shearer,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
7223,CNC engraving machine operator,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3321,underwriter,33,Business and administration associate professionals,3,Technicians and Associate Professionals
7126,sewage pipe layer,71,Building and Related Trades Workers (excluding Electricians),7,Craft and Related Trades Workers
4321,freight clerk,43,Numerical and material recording clerks,4,Clerical Support Workers
2320,vocational university teacher,23,Teaching professionals,2,Professionals
6223,trawler man,62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled Agricultural, Forestry and Fishery Workers"
7543,hair sorter,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
2422,strategic planning officer,24,Business and administration professionals,2,Professionals
2653,dance performer,26,"Legal, social and cultural professionals",2,Professionals
4132,key punch operator,41,General and keyboard clerks,4,Clerical Support Workers
8331,schoolbus driver,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
210,master aircrew,2,Non-commissioned armed forces officers,0,Armed Forces Occupations
1213,policy coordinator,12,Administrative and commercial managers,1,Managers
1431,general curator,14,"Hospitality, retail and other services managers",1,Managers
5243,bread salesman,52,Sales workers,5,Service and Sales Workers
3112,health and safety manager,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5249,rental sales assistant in water transport equipment,52,Sales workers,5,Service and Sales Workers
2519,data integrity specialist,25,Information and communications technology professionals,2,Professionals
3117,acidifier,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7223,barrel lapper,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2330,modern foreign languages teacher,23,Teaching professionals,2,Professionals
2523,internet engineer,25,Information and communications technology professionals,2,Professionals
2142,senior highway network inspector,21,Science and engineering professionals,2,Professionals
3152,submarine helmsman,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
7213,metal fabricator,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3512,application support specialist,35,Information and communications technicians,3,Technicians and Associate Professionals
2149,quantities surveyor,21,Science and engineering professionals,2,Professionals
2652,accompanist,26,"Legal, social and cultural professionals",2,Professionals
7322,hot foil stamping machine specialist,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2412,relationship manager,24,Business and administration professionals,2,Professionals
2163,hand-made furniture builder,21,Science and engineering professionals,2,Professionals
7222,press tool maker,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3240,artificial insemination technician,32,Health associate professionals,3,Technicians and Associate Professionals
9329,wooden hull caulker,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
5164,equine trainer,51,Personal service workers,5,Service and Sales Workers
3122,animal feed quality controller,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
2310,history professor,23,Teaching professionals,2,Professionals
3521,shotgun microphone operator,35,Information and communications technicians,3,Technicians and Associate Professionals
2642,drinks blogger,26,"Legal, social and cultural professionals",2,Professionals
5312,lunchtime supervisor,53,Personal care workers,5,Service and Sales Workers
5152,guest house operator,51,Personal service workers,5,Service and Sales Workers
2120,field demographer,21,Science and engineering professionals,2,Professionals
8312,cable examiner's mate,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
8321,motorcycle driver of deliveries,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
1221,sales and service manager,12,Administrative and commercial managers,1,Managers
7313,barrel polishing machine worker,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2310,classics lecturer,23,Teaching professionals,2,Professionals
3115,stress-strain analyst,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
3141,biotechnical technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
5164,zookeeper and tour guide,51,Personal service workers,5,Service and Sales Workers
8189,edge tool worker,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2250,veterinary surgeon,22,Health professionals,2,Professionals
8111,landsale attendant,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
2153,bsc engineer,21,Science and engineering professionals,2,Professionals
1322,mine manager,13,Production and Specialized Services Managers,1,Managers
9629,city centre ambassador,96,Refuse workers and other elementary workers,9,Elementary Occupations
1221,head of growth,12,Administrative and commercial managers,1,Managers
2621,aquarium registrar,26,"Legal, social and cultural professionals",2,Professionals
2330,computing teacher,23,Teaching professionals,2,Professionals
8160,grain miller,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
3343,student exchange coordinator,33,Business and administration associate professionals,3,Technicians and Associate Professionals
4321,goods inward clerk,43,Numerical and material recording clerks,4,Clerical Support Workers
5222,rounds inspector,52,Sales workers,5,Service and Sales Workers
2635,family aid,26,"Legal, social and cultural professionals",2,Professionals
3324,wholesale merchant in tobacco products,33,Business and administration associate professionals,3,Technicians and Associate Professionals
3115,vehicle production engineering technician,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
1431,cultural centre director,14,"Hospitality, retail and other services managers",1,Managers
4213,credit draper,42,Customer services clerks,4,Clerical Support Workers
7321,offset lithographer,73,Handicraft and printing workers,7,Craft and Related Trades Workers
2149,optical technology engineering consultant,21,Science and engineering professionals,2,Professionals
2651,stained glass artist & restorer,26,"Legal, social and cultural professionals",2,Professionals
2166,puppet animator,21,Science and engineering professionals,2,Professionals
8156,shoe sewing machine tender,81,Stationary plant and machine operators,8,"Plant and Machine Operators, and Assemblers"
5164,agility dog trainer,51,Personal service workers,5,Service and Sales Workers
9313,terrazzo layer's labourer,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
5142,weight loss counsellor,51,Personal service workers,5,Service and Sales Workers
2149,robotic technology engineering expert,21,Science and engineering professionals,2,Professionals
7224,hydro-blaster,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3258,emergency medical vehicle assistant,32,Health associate professionals,3,Technicians and Associate Professionals
8342,snow remover,83,Drivers and mobile plant operators,8,"Plant and Machine Operators, and Assemblers"
2431,trainee pricing specialist,24,Business and administration professionals,2,Professionals
7233,lube technician,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
3132,waystewater treatment plant worker,31,Science and engineering associate professionals,3,Technicians and Associate Professionals
9333,fish loader,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
7543,aeronautical inspector,75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",7,Craft and Related Trades Workers
3422,on-ice official,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
2432,activist,24,Business and administration professionals,2,Professionals
7411,wiring engineer,74,Electrical and Electronics Trades Workers,7,Craft and Related Trades Workers
1420,opticians shop manager,14,"Hospitality, retail and other services managers",1,Managers
9311,mining assistant,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
2310,classical studies lecturer,23,Teaching professionals,2,Professionals
7223,precision grinder,72,"Metal, machinery and related trades workers",7,Craft and Related Trades Workers
2310,university education studies lecturer,23,Teaching professionals,2,Professionals
9329,picker-up,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary Occupations
3211,radiotherapy physics scientist,32,Health associate professionals,3,Technicians and Associate Professionals
3435,programme organiser,34,"Legal, social, cultural and related associate professionals",3,Technicians and Associate Professionals
5169,club host/club hostess,51,Personal service workers,5,Service and Sales Workers
3341,trainee data analyst,33,Business and administration associate professionals,3,Technicians and Associate Professionals
2149,materials engineering expert,21,Science and engineering professionals,2,Professionals
